City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,4.08,84,100,2.68,US,1675059978
1,puerto ayora,-0.7393,-90.3518,24.75,95,98,0.65,EC,1675060247
2,sao joao da barra,-21.6403,-41.0511,24.25,89,99,7.44,BR,1675060248
3,yellowknife,62.456,-114.3525,-30.25,69,0,4.63,CA,1675060248
4,nikolskoye,59.7035,30.7861,0.94,97,100,6.0,RU,1675060248
5,chokurdakh,70.6333,147.9167,-28.04,97,100,4.01,RU,1675060249
6,avarua,-21.2078,-159.775,25.03,88,100,4.12,CK,1675060249
7,kahului,20.8947,-156.47,23.25,83,100,6.17,US,1675060249
8,coahuayana,18.7333,-103.6833,20.54,83,0,1.93,MX,1675060250
9,tasiilaq,65.6145,-37.6368,-6.91,94,100,3.54,GL,1675060250
10,talnakh,69.4865,88.3972,-21.36,98,95,2.24,RU,1675060251
11,jaru,-10.4389,-62.4664,21.41,99,94,1.14,BR,1675060076
12,bluff,-46.6,168.3333,16.02,85,100,4.04,NZ,1675060251
13,dikson,73.5069,80.5464,-34.28,97,19,2.03,RU,1675060252
14,vanimo,-2.6741,141.3028,28.65,75,20,3.43,PG,1675060252
15,mataura,-46.1927,168.8643,19.95,71,100,1.3,NZ,1675060253
16,muros,42.7762,-9.0603,2.83,86,13,4.04,ES,1675060253
17,ponta do sol,32.6667,-17.1,14.35,70,41,2.08,PT,1675060254
18,enshi,30.3,109.4833,16.96,39,0,0.83,CN,1675060254
19,butaritari,3.0707,172.7902,27.21,78,8,9.01,KI,1675060254
20,rikitea,-23.1203,-134.9692,26.4,70,7,4.57,PF,1675060255
21,ancud,-41.8697,-73.8203,14.71,97,48,3.02,CL,1675060255
22,port hedland,-20.3167,118.5667,36.03,56,100,4.63,AU,1675060256
23,abha,18.2164,42.5053,15.14,48,0,2.57,SA,1675060256
24,mount isa,-20.7333,139.5,27.87,74,40,2.57,AU,1675060257
25,aras,42.5617,-2.356,1.23,75,75,3.09,ES,1675060257
26,barranquilla,10.9639,-74.7964,24.88,73,0,5.14,CO,1675060258
27,kodiak,57.79,-152.4072,2.73,100,100,0.0,US,1675060258
28,oussouye,12.485,-16.5469,18.05,32,97,3.66,SN,1675060258
29,punta arenas,-53.15,-70.9167,8.06,87,75,5.14,CL,1675060166
30,faanui,-16.4833,-151.75,26.99,77,13,5.05,PF,1675060259
31,kresttsy,58.2452,32.5165,-0.19,97,100,6.55,RU,1675060259
32,lebu,-37.6167,-73.65,16.78,87,88,6.58,CL,1675060260
33,bengkulu,-3.8004,102.2655,29.2,67,100,4.82,ID,1675060261
34,touros,-5.1989,-35.4608,25.78,75,67,4.91,BR,1675060261
35,saint-augustin,51.226,-58.6502,-18.18,78,100,2.57,CA,1675060262
36,srednekolymsk,67.45,153.6833,-21.85,97,100,3.9,RU,1675060263
37,provideniya,64.3833,-173.3,-0.78,98,100,4.66,RU,1675060263
38,watrous,51.6668,-105.4679,-25.12,70,99,5.14,CA,1675060264
39,carnarvon,-24.8667,113.6333,26.74,64,0,5.52,AU,1675060265
40,eskil,38.4017,33.4131,1.38,82,97,2.53,TR,1675060265
41,camacha,33.0833,-16.3333,11.68,76,40,3.6,PT,1675060266
42,qaanaaq,77.484,-69.3632,-25.33,66,14,3.4,GL,1675060267
43,comodoro rivadavia,-45.8667,-67.5,23.92,41,0,8.75,AR,1675059936
44,castro,-24.7911,-50.0119,16.74,97,100,1.31,BR,1675060269
45,meulaboh,4.1363,96.1285,29.53,69,100,2.98,ID,1675060270
46,ishigaki,24.3448,124.1572,18.07,48,20,6.69,JP,1675060272
47,vaini,-21.2,-175.2,28.09,89,75,2.06,TO,1675060272
48,abu samrah,35.3029,37.1841,9.38,77,58,3.01,SY,1675060273
49,east london,-33.0153,27.9116,20.52,73,75,2.57,ZA,1675060274
50,saint george,37.1041,-113.5841,7.75,52,75,3.09,US,1675060262
51,sambava,-14.2667,50.1667,29.78,67,26,2.09,MG,1675060275
52,lakatoro,-16.0999,167.4164,28.0,78,100,2.51,VU,1675060276
53,tiksi,71.6872,128.8694,-37.27,97,43,1.45,RU,1675060276
54,busselton,-33.65,115.3333,29.68,41,0,7.4,AU,1675060277
55,matara,5.9485,80.5353,29.42,57,5,2.82,LK,1675060278
56,san cristobal,7.7669,-72.225,16.12,81,51,0.86,VE,1675060165
57,megion,61.0296,76.1136,-11.99,96,100,3.12,RU,1675060278
58,airai,-8.9266,125.4092,19.77,86,100,0.48,TL,1675060279
59,troitskoye,52.9821,84.6757,-9.1,90,100,4.47,RU,1675060280
60,los llanos de aridane,28.6585,-17.9182,12.86,77,40,5.14,ES,1675060280
61,pevek,69.7008,170.3133,-17.02,92,99,1.49,RU,1675060281
62,san carlos de bariloche,-41.1456,-71.3082,15.86,67,0,5.66,AR,1675060269
63,hailar,49.2,119.7,-17.39,94,92,1.47,CN,1675060282
64,nioro,13.35,-15.75,17.89,16,100,2.9,GM,1675060237
65,ossora,59.2353,163.0719,-1.88,84,100,10.33,RU,1675060283
66,hithadhoo,-0.6,73.0833,27.38,75,100,3.45,MV,1675060283
67,skelleftea,64.7507,20.9528,-1.67,100,75,2.57,SE,1675060284
68,worland,44.0169,-107.9554,-29.63,84,0,3.09,US,1675060284
69,thompson,55.7435,-97.8558,-32.91,68,0,1.03,CA,1675060285
70,hilo,19.7297,-155.09,21.27,91,100,2.57,US,1675060285
71,jamestown,42.097,-79.2353,-2.77,100,100,3.6,US,1675060005
72,honiara,-9.4333,159.95,26.74,83,97,1.44,SB,1675060286
73,laukaa,58.7372,29.8453,0.8,97,100,6.16,RU,1675060287
74,saint-philippe,-21.3585,55.7679,30.62,77,100,0.75,RE,1675060287
75,arraial do cabo,-22.9661,-42.0278,24.72,90,100,9.46,BR,1675060219
76,fort-shevchenko,44.5086,50.263,2.4,43,18,5.4,KZ,1675060288
77,boa esperanca,-21.09,-45.5658,19.22,95,100,1.11,BR,1675060289
78,hobart,-42.8794,147.3294,24.04,68,20,10.8,AU,1675060290
79,sitka,57.0531,-135.33,1.94,80,100,2.57,US,1675060291
80,nantucket,41.2835,-70.0995,7.06,83,0,6.69,US,1675060256
81,esperance,-33.8667,121.9,24.99,50,13,7.59,AU,1675060291
82,amahai,-3.3333,128.9167,28.2,77,98,0.76,ID,1675060292
83,lagoa,39.05,-27.9833,14.19,65,16,5.35,PT,1675060292
84,boa vista,2.8197,-60.6733,23.99,73,0,3.6,BR,1675060293
85,barrow,71.2906,-156.7887,-18.99,84,100,6.69,US,1675060293
86,aksarka,66.5606,67.7975,-15.81,96,100,2.67,RU,1675060294
87,hermanus,-34.4187,19.2345,19.89,61,100,9.23,ZA,1675060294
88,bredasdorp,-34.5322,20.0403,21.03,54,98,9.45,ZA,1675060295
89,kruisfontein,-34.0033,24.7314,19.94,48,100,6.42,ZA,1675060295
90,vestmannaeyjar,63.4427,-20.2734,1.27,71,100,4.12,IS,1675060295
91,mizdah,31.4451,12.9801,5.05,59,0,2.99,LY,1675060296
92,ushuaia,-54.8,-68.3,7.81,76,0,1.54,AR,1675060296
93,port alfred,-33.5906,26.891,20.66,71,12,0.89,ZA,1675060297
94,theunissen,-28.411,26.7011,23.65,52,4,8.66,ZA,1675060297
95,bow island,49.8668,-111.3684,-14.73,66,100,4.12,CA,1675060298
96,grindavik,63.8424,-22.4338,-2.74,80,75,3.6,IS,1675060299
97,thinadhoo,0.5333,72.9333,27.29,74,12,2.88,MV,1675060299
98,huarmey,-10.0681,-78.1522,21.29,85,100,1.93,PE,1675060299
99,new norfolk,-42.7826,147.0587,23.84,43,3,1.34,AU,1675060300
100,san quintin,30.4833,-115.95,13.68,67,99,2.55,MX,1675060300
101,cabo san lucas,22.8909,-109.9124,19.17,76,99,5.42,MX,1675060301
102,georgetown,5.4112,100.3354,29.97,63,20,3.6,MY,1675060004
103,namibe,-15.1961,12.1522,23.91,76,99,2.35,AO,1675060301
104,rognan,67.0953,15.3878,1.08,96,100,0.9,NO,1675060302
105,chuy,-33.6971,-53.4616,20.08,90,3,3.05,UY,1675060302
106,yangshan,28.7615,115.0287,13.85,24,0,1.91,CN,1675060303
107,ulladulla,-35.35,150.4667,20.5,91,100,5.2,AU,1675060303
108,orizona,-17.0314,-48.2958,18.57,94,100,0.99,BR,1675060304
109,saldanha,-33.0117,17.9442,21.03,59,1,2.5,ZA,1675060304
110,port elizabeth,-33.918,25.5701,21.84,65,20,5.14,ZA,1675060305
111,morgan city,29.6994,-91.2068,21.11,94,100,5.14,US,1675060305
112,yarada,17.65,83.2667,28.18,57,40,4.63,IN,1675060306
113,baft,29.234,56.6057,7.31,44,0,6.27,IR,1675060306
114,mezen,65.8522,44.24,-6.86,94,100,4.55,RU,1675060306
115,hobyo,5.3505,48.5268,26.39,62,19,9.9,SO,1675060307
116,camana,-16.6228,-72.7111,22.85,83,100,2.03,PE,1675060307
117,khatanga,71.9667,102.5,-42.32,100,57,0.68,RU,1675060308
118,najran,17.4924,44.1277,15.36,41,0,1.65,SA,1675060257
119,hofn,64.2539,-15.2082,-3.27,72,100,4.09,IS,1675060308
120,kirakira,-10.4544,161.9205,25.89,87,100,2.53,SB,1675060309
121,dobryatino,55.5055,41.3195,-7.29,93,72,4.12,RU,1675060309
122,akyab,20.15,92.9,27.19,47,1,3.67,MM,1675060310
123,pyu,18.4833,96.4333,34.72,27,10,1.83,MM,1675060310
124,warwick,41.7001,-71.4162,7.83,79,100,3.6,US,1675059800
125,yerbogachen,61.2767,108.0108,-14.57,94,100,2.48,RU,1675060311
126,islamkot,24.6997,70.177,24.83,8,0,3.42,PK,1675060311
127,thunder bay,48.4001,-89.3168,-24.01,64,0,1.54,CA,1675060220
128,camabatela,-8.1881,15.375,18.48,93,100,0.44,AO,1675060312
129,menongue,-14.6585,17.691,17.69,92,99,0.66,AO,1675060312
130,kamenka,51.3223,42.7678,-3.23,95,100,3.24,RU,1675060313
131,wuwei,37.9281,102.6414,5.42,16,91,1.44,CN,1675060313
132,ust-nera,64.5667,143.2,-25.06,98,100,1.85,RU,1675060314
133,iquitos,-3.7481,-73.2472,24.02,88,75,2.57,PE,1675060314
134,las vegas,36.175,-115.1372,10.69,57,75,4.12,US,1675060201
135,bereda,43.2686,-7.5406,-2.7,100,35,0.98,ES,1675060315
136,acopiara,-6.0953,-39.4525,20.2,86,0,0.2,BR,1675060131
137,san policarpo,12.1791,125.5072,26.08,82,100,4.46,PH,1675060315
138,kapaa,22.0752,-159.319,22.18,73,75,9.26,US,1675060316
139,lovozero,68.005,35.0117,-7.65,95,100,2.18,RU,1675060316
140,dovers,12.8833,-61.1833,24.79,70,2,6.34,VC,1675060316
141,caravelas,-17.7125,-39.2481,23.23,86,98,1.84,BR,1675060317
142,fortuna,40.5982,-124.1573,2.77,87,0,0.0,US,1675060223
143,narsaq,60.9167,-46.05,-10.88,71,100,3.09,GL,1675060317
144,jarocin,51.9727,17.5026,-0.26,95,100,9.12,PL,1675060318
145,homer,59.6425,-151.5483,5.02,79,100,2.68,US,1675060100
146,mala,-12.6581,-76.6308,21.88,87,100,2.05,PE,1675060318
147,blackwater,-23.5833,148.8833,33.36,33,26,4.46,AU,1675060319
148,price,39.5994,-110.8107,-3.27,86,100,0.0,US,1675060320
149,atuona,-9.8,-139.0333,26.06,78,10,8.38,PF,1675060320
